Internships,2022-08-07,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25
Alric Nekrews,00:00:00,3:00:00,00:00:00,9:04:17,9:22:00,6:00:00,00:00:00,29:00:00,9:40:00,7:42:56,00:00:00,22:10:46,7:49:26,00:00:00,5:39:50,00:00:00,4:16:41,30:00:00,00:00:00
Berk Margrie,00:00:00,9:00:00,9:00:00,00:00:00,7:08:17,4:49:04,1:00:00,00:00:00,19:55:00,12:53:50,00:00:00,6:14:26,2:30:00,00:00:00,6:30:00,8:53:01,00:00:00,25:00:00,00:00:00
Billi Mullins,00:00:00,00:00:00,6:00:00,7:10:00,00:00:00,11:36:00,8:05:21,2:00:00,00:00:00,22:00:00,12:40:18,9:15:58,00:00:00,19:00:00,00:00:00,6:00:00,17:48:03,00:00:00,00:00:00
Camile Walklate,00:00:00,00:00:00,49:01:52,6:12:36,19:45:00,00:00:00,4:00:00,11:00:00,10:12:57,00:00:00,10:00:00,4:59:51,00:00:00,1:00:00,12:14:26,00:00:00,28:59:56,00:00:00,29:00:00
Carmine Rowston,00:00:00,2:16:17,2:13:46,00:00:00,5:12:22,14:46:00,3:30:00,00:00:00,14:30:00,17:01:51,7:16:55,00:00:00,13:55:03,00:00:00,4:17:53,7:38:04,00:00:00,2:00:00,00:00:00
Christoph Templeton,00:00:00,4:00:00,13:06:00,5:05:19,00:00:00,14:24:06,31:36:00,00:00:00,7:30:00,28:27:00,5:00:00,00:00:00,4:00:00,4:01:12,00:00:00,34:00:00,00:00:00,2:20:35,00:00:00
Danny Krzyzanowski,3:42:50,00:00:00,3:00:00,6:47:22,00:00:00,6:00:00,14:15:00,15:17:37,00:00:00,29:00:00,19:13:48,00:00:00,4:58:52,37:00:00,00:00:00,25:00:00,30:00:00,00:00:00,00:00:00
Daune Larway,00:00:00,3:30:00,00:00:00,29:30:00,38:02:00,00:00:00,6:00:00,8:45:00,4:00:00,00:00:00,11:00:00,19:00:00,00:00:00,3:52:33,1:00:00,00:00:00,25:00:00,28:00:00,00:00:00
Ernaline Durnan,00:00:00,6:29:27,34:06:00,00:00:00,2:26:00,9:19:30,11:30:06,00:00:00,33:00:00,17:45:00,00:00:00,1:00:00,7:39:33,00:00:00,6:10:00,15:00:00,00:00:00,4:31:00,00:00:00
Gilbertine Steart,00:00:00,2:00:00,7:09:42,00:00:00,28:30:00,17:13:09,4:00:00,00:00:00,29:00:00,6:43:27,00:00:00,8:07:06,22:00:00,00:00:00,25:00:00,14:56:16,00:00:00,1:00:00,00:00:00
Greta Searl,00:00:00,1:23:00,5:53:03,45:10:00,00:00:00,2:50:00,29:45:00,00:00:00,6:05:00,25:00:00,9:02:46,00:00:00,51:50:27,17:06:23,00:00:00,4:00:00,5:00:00,00:00:00,00:00:00
Henri Dunn,00:00:00,3:18:44,24:48:51,00:00:00,2:00:53,17:50:00,7:31:54,00:00:00,3:55:43,24:30:00,00:00:00,30:00:00,17:39:31,00:00:00,9:00:00,18:00:00,00:00:00,4:25:00,00:00:00
Jenilee Mowling,00:00:00,16:09:00,00:00:00,6:12:35,6:27:37,4:00:00,00:00:00,31:00:00,10:39:05,8:27:58,00:00:00,4:00:00,9:25:06,00:00:00,5:30:00,18:43:54,00:00:00,6:00:00,00:00:00
Jilli Lempenny,00:00:00,5:33:42,2:00:00,00:00:00,4:00:00,31:05:00,00:00:00,5:13:37,24:00:00,30:00:00,00:00:00,32:00:00,39:30:00,00:00:00,8:04:58,31:15:00,00:00:00,9:00:00,00:00:00
Joella Cursey,00:00:00,5:57:04,6:17:29,4:00:00,00:00:00,4:00:00,9:30:00,6:35:09,00:00:00,50:24:02,2:30:00,00:00:00,34:00:00,4:35:33,00:00:00,169:43:43,1:30:00,00:00:00,00:00:00
Katine Hallifax,00:00:00,2:00:00,3:00:00,00:00:00,6:00:00,20:50:00,5:45:00,00:00:00,20:54:53,22:14:14,00:00:00,6:00:00,3:22:51,00:00:00,2:00:00,20:24:00,00:00:00,30:00:00,00:00:00
Lonni Stean,00:00:00,7:20:00,6:30:00,00:00:00,5:00:00,4:00:00,00:00:00,8:32:27,7:41:00,1:00:00,00:00:00,4:00:00,31:00:00,00:00:00,78:57:51,3:00:00,00:00:00,19:00:00,00:00:00
Mary Dorward,00:00:00,3:30:00,14:30:00,7:22:35,00:00:00,50:53:26,6:41:41,23:30:00,00:00:00,15:34:49,29:00:00,00:00:00,25:00:00,1:00:00,00:00:00,17:46:36,13:04:18,00:00:00,00:00:00
Myrtle Pumfrett,00:00:00,1:55:44,6:21:47,00:00:00,12:03:14,6:00:00,00:00:00,16:30:00,13:47:23,19:00:05,00:00:00,13:12:34,3:00:00,00:00:00,4:00:00,7:28:11,00:00:00,13:18:02,00:00:00
Nerissa Camoletto,00:00:00,2:00:00,00:00:00,0:45:00,6:00:00,00:00:00,4:15:28,17:34:08,29:00:00,00:00:00,6:27:15,11:33:58,00:00:00,1:00:00,16:07:53,00:00:00,4:00:00,13:39:22,00:00:00
Obadias Wincom,00:00:00,3:40:41,16:30:27,4:00:00,00:00:00,34:42:03,9:10:51,4:30:00,00:00:00,29:00:00,26:30:00,00:00:00,9:50:57,29:00:00,00:00:00,1:30:00,4:00:00,00:00:00,00:00:00
Randall Fetterplace,00:00:00,8:00:00,12:16:03,00:00:00,10:30:00,6:44:28,00:00:00,20:02:00,17:32:33,5:00:00,00:00:00,50:58:00,8:28:45,00:00:00,17:38:01,2:00:00,00:00:00,6:30:00,00:00:00
Ross Votier,00:00:00,00:00:00,21:30:00,3:30:00,00:00:00,6:07:55,4:00:00,11:35:00,00:00:00,5:10:00,22:04:00,6:00:00,00:00:00,2:00:00,00:00:00,3:02:05,20:00:00,00:00:00,32:00:00
Skippie Kitley,00:00:00,00:00:00,1:55:00,1:00:00,3:14:09,00:00:00,35:03:23,19:15:00,00:00:00,4:25:28,11:10:53,15:08:34,00:00:00,5:35:22,9:09:18,00:00:00,10:41:03,00:00:00,10:32:32
Son Klugel,00:00:00,00:00:00,5:30:30,11:02:49,4:00:00,00:00:00,21:00:00,21:00:00,2:20:00,00:00:00,29:00:00,29:15:00,00:00:00,10:00:28,3:00:00,00:00:00,2:00:00,00:00:00,25:00:00
Steffi Witherup,00:00:00,8:06:29,00:00:00,48:29:46,10:35:00,9:31:33,00:00:00,4:00:00,19:00:00,00:00:00,3:20:11,5:00:00,00:00:00,2:04:06,17:30:00,00:00:00,3:40:00,1:00:00,00:00:00
Ursulina Sanchez,00:00:00,6:55:41,00:00:00,4:00:00,6:00:00,00:00:00,9:45:00,19:06:11,20:49:02,00:00:00,23:00:00,30:15:00,00:00:00,3:00:00,32:15:00,00:00:00,3:00:30,00:00:00,16:00:00
Veronique Redholes,00:00:00,00:00:00,2:19:59,23:32:00,00:00:00,29:00:00,12:41:47,2:00:00,00:00:00,31:03:00,19:00:00,00:00:00,5:35:02,18:54:20,00:00:00,8:42:58,17:00:00,00:00:00,00:00:00
Vivyanne Clackers,00:00:00,00:00:00,5:20:00,10:30:00,2:00:00,00:00:00,29:00:00,11:37:23,26:45:00,00:00:00,17:23:15,1:00:00,00:00:00,63:33:24,2:54:55,00:00:00,31:00:00,00:00:00,4:00:00
Wilmar Blasetti,00:00:00,5:46:01,00:00:00,8:00:00,4:00:00,00:00:00,9:01:00,7:22:49,6:00:00,00:00:00,30:00:00,30:04:30,00:00:00,25:00:00,47:15:00,00:00:00,36:00:00,00:00:00,5:00:00
Cohort 219,,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,
Adriano Staton,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,
Alameda Minter,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,4:00:00,00:00:00,00:00:00,
Alasteir Izard,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,
Aleece Powis,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,8:00:00,00:00:00,
Alessandro Blayney,,1:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,
Alric Nekrews,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,4:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,
Archibaldo Billyeald,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,
Brian Happel,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,
